feature,spearman_rho,pval
harmonic_ratio,-0.8096212498608806,8.744060326978325e-06
inter_peak_interval_variance,-0.6135515237825453,0.003095440888996323
rms,0.576204909291434,0.006259787451109156
amplitude_modulation,0.501511680309211,0.02054547410743685
sustain_ratio,-0.43215368196857534,0.05041552086541006
centroid_modulation_depth,-0.38680422151508287,0.08324073970407826
spectral_flatness,-0.34412237638238413,0.12663751120774275
crest_factor,-0.3347857227596063,0.1379585816841932
spectral_flux_variance,-0.2974391082684948,0.19038296479340397
energy_decay,0.2680953397397644,0.23999374861744202
spectral_flux,0.18139784181396995,0.43132286208627596
spectral_bandwidth,-0.15738930392682685,0.49565012324003954
spectral_rolloff,-0.14004980434166797,0.5448558745841329
autocorrelation,-0.1347145737000806,0.5604303387751985
spectral_centroid,-0.12271030475650908,0.5961772181526209
modulation_energy,0.0920327285673818,0.6915400830429934
zcr,-0.036130304065666516,0.8764416328861018
secondary_peak_count,-0.02268946843449461,0.9222328457589541
temporal_centroid,-0.013338076603968376,0.9542406950930755
post_onset_energy_ratio,-0.007415827704979736,0.9745494569312017
