feature,n_weak,n_strong,cohen_d,tstat,pval,abs_cohen
inter_peak_interval_variance,6,10,1.9270544471559836,3.7042036245733994,0.0038042198568332087,1.9270544471559836
sustain_ratio,6,10,1.0949819176663658,2.746067215976597,0.0213715336900335,1.0949819176663658
harmonic_ratio,6,10,1.0867749471181485,2.7522217088860015,0.022252611937025525,1.0867749471181485
centroid_modulation_depth,6,10,0.8312210198197094,1.7730613578412135,0.09858836349203234,0.8312210198197094
spectral_flatness,6,10,0.7243076261521929,1.4483327913147366,0.17368681958623805,0.7243076261521929
crest_factor,6,10,0.6309828010414185,1.3871854583290981,0.18709486339977757,0.6309828010414185
energy_decay,6,10,-0.5758476083378862,-1.411854910601032,0.186099338542771,0.5758476083378862
amplitude_modulation,6,10,-0.4780461799399267,-1.1815966982377861,0.26371521198853765,0.4780461799399267
rms,6,10,-0.4754108377871403,-1.124245300205344,0.281930229765608,0.4754108377871403
spectral_flux,6,10,-0.33833353590137233,-0.8020153253002545,0.4375703268487528,0.33833353590137233
secondary_peak_count,6,10,-0.3270242136983297,-0.6606221634441843,0.5212475464797296,0.3270242136983297
spectral_flux_variance,6,10,0.3157855983969592,0.6888531967944019,0.5022238188757174,0.3157855983969592
zcr,6,10,0.31102116895520043,0.6602824009004573,0.5201721162592983,0.31102116895520043
temporal_centroid,6,10,0.26407285253672447,0.5922311449390509,0.5631773749548483,0.26407285253672447
autocorrelation,6,10,0.21293130941566138,0.5264762520843153,0.6096348426033737,0.21293130941566138
modulation_energy,6,10,-0.1321412428629219,-0.3049736550179879,0.7650662297021638,0.1321412428629219
spectral_rolloff,6,10,0.05320394450646812,0.128702712951462,0.8998132756373693,0.05320394450646812
spectral_bandwidth,6,10,0.03191421530533929,0.07668148936012611,0.9401566042290939,0.03191421530533929
post_onset_energy_ratio,6,10,0.025108967645519804,0.04537025829760026,0.9648509088236696,0.025108967645519804
spectral_centroid,6,10,-0.0024000720645218367,-0.005829896671942362,0.9954500380400526,0.0024000720645218367
