feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
amplitude_modulation,,,,,3.43640280761214e-05,,0.9759000729485332,8.0,,
crest_factor,,,,,0.0009161801973082115,,-0.9271050693011065,8.0,,
rms,,,,,0.0009161801973082115,,0.9271050693011065,8.0,,
spectral_bandwidth,,,,,0.010857954728721152,,0.8295150620062534,8.0,,
autocorrelation,,,,,0.022214514665634257,,-0.7807200583588266,8.0,,
secondary_peak_count,,,,,0.08102035156249998,,-0.65,8.0,,
sustain_ratio,,,,,0.09116266392027378,,0.6343350474165467,8.0,,
spectral_centroid,,,,,0.09116266392027378,,0.6343350474165467,8.0,,
temporal_centroid,,,,,0.21994381924181858,,-0.4879500364742666,8.0,,
modulation_energy,,,,,0.21994381924181858,,0.4879500364742666,8.0,,
harmonic_ratio,,,,,0.21994381924181858,,-0.4879500364742666,8.0,,
energy_decay,,,,,0.21994381924181858,,-0.4879500364742666,8.0,,
spectral_flux,,,,,0.21994381924181858,,0.4879500364742666,8.0,,
spectral_rolloff,,,,,0.21994381924181858,,0.4879500364742666,8.0,,
spectral_flatness,,,,,0.21994381924181858,,0.4879500364742666,8.0,,
post_onset_energy_ratio,,,,,0.2441160373765076,,-0.4663366589901251,8.0,,
spectral_flux_variance,,,,,0.40763373853312024,,0.3415650255319867,8.0,,
centroid_modulation_depth,,,,,0.6432255386372303,,-0.19518001458970666,8.0,,
inter_peak_interval_variance,,,,,0.8181772027352759,,-0.09759000729485333,8.0,,
zcr,,,,,1.0,,0.0,8.0,,
