feature,spearman_rho,pval
harmonic_ratio,-0.509080835292504,0.0005754666675326725
rms,0.4887575820511147,0.0010225637910316599
amplitude_modulation,0.4787625394733822,0.0013395402063706918
spectral_contrast,-0.4720991777548941,0.0015966004910681543
mfcc_1_mean,0.44711157131056306,0.002991834412618965
inter_peak_interval_variance,-0.42112446060845876,0.005481337680461015
chroma_mean,0.2951869241290304,0.05771858418259374
crest_factor,-0.2885235624105421,0.06387616183918611
mfcc_3_std,-0.2848587134653736,0.06747880389932367
delta_mfcc_1_mean,0.2775290155750365,0.07516536037730015
delta_mfcc_13_mean,-0.2672008049113797,0.08714410722414657
spectral_flux_variance,-0.2555399219040252,0.10239409882405906
delta_mfcc_12_mean,-0.25354091338847873,0.10520173906744625
delta_mfcc_2_mean,0.24754388784183926,0.11397767452280162
mfcc_13_std,-0.24687755166999048,0.11498600242531778
mfcc_11_std,-0.23455033249078716,0.13487992427106693
mfcc_12_std,-0.23021914737376978,0.14244451535460032
centroid_modulation_depth,-0.21589291967902,0.1696968801674743
sustain_ratio,-0.20956272604645612,0.18286640263444115
mfcc_9_std,-0.2085632217886829,0.18501061031827795
mfcc_7_mean,-0.206231045187212,0.19008319903838042
delta_mfcc_11_mean,-0.2058978771012876,0.19081581932160677
mfcc_4_mean,-0.181243438742881,0.25068449208803906
mfcc_6_mean,0.17624591745401477,0.2642075492725609
delta_mfcc_3_std,-0.17258106850884622,0.2744264002725826
mfcc_5_mean,-0.17024889190737535,0.2810627145554983
spectral_flux,0.1599206812437185,0.31170209237567664
spectral_flatness,-0.1472602939785908,0.35203876875985896
mfcc_4_std,0.13826475565863164,0.3825426096662994
delta_mfcc_12_std,-0.1302687215964457,0.4109219410069987
mfcc_7_std,-0.12427169604980626,0.43297305054121943
delta_mfcc_11_std,-0.12094001519056212,0.4455025742901201
delta_mfcc_10_std,-0.11594249390169593,0.4646639392393038
zcr,-0.11474937978020452,0.46930284691676794
mfcc_9_mean,0.11294398112837621,0.47636893917743073
mfcc_6_std,-0.10927913218320764,0.49088338644823926
mfcc_5_std,-0.10861279601135881,0.4935467062184081
delta_mfcc_13_std,-0.10661378749581234,0.5015810945731468
delta_mfcc_9_mean,-0.10461477898026586,0.5096815681454135
delta_mfcc_5_mean,0.09761824917585318,0.5385427562198545
mfcc_8_std,-0.09495290448845788,0.5497409886280229
mfcc_2_mean,0.09162122362921374,0.5638920994162543
delta_mfcc_8_mean,-0.08962221511366725,0.5724629588498092
energy_decay,0.08928904702774283,0.573897199062546
mfcc_3_mean,0.08362518956702782,0.598525879318696
delta_mfcc_9_std,-0.08162618105148133,0.6073270757583717
mfcc_13_mean,-0.08029350870778366,0.6132252196990005
modulation_energy,0.0759623235907663,0.632559623605809
delta_mfcc_7_std,-0.07496281933299306,0.6370565550273614
mfcc_10_std,-0.07329697890337099,0.644580026881313
post_onset_energy_ratio,-0.06996545031372868,0.6597311599328147
delta_mfcc_10_mean,0.06863262570042919,0.6658308171375255
chroma_std,-0.06463460866933622,0.684254327810152
delta_mfcc_1_std,-0.06263560015378976,0.6935351450937394
spectral_rolloff,-0.061969263981940935,0.6966386859502507
delta_mfcc_7_mean,-0.060636591638243274,0.7028603994918067
delta_mfcc_6_mean,0.055972238435301476,0.724785215761623
delta_mfcc_2_std,0.05430639800567941,0.732669491182971
autocorrelation,0.05330689374790617,0.73741317499462
spectral_centroid,-0.05330689374790617,0.73741317499462
spectral_bandwidth,-0.05197422140420852,0.7437530564796401
secondary_peak_count,-0.04300133784021065,0.7868561026728572
delta_mfcc_3_mean,0.04264551499832494,0.7885793344561488
mfcc_8_mean,-0.03464948093613901,0.8275515360481307
delta_mfcc_8_std,-0.030984631990970467,0.8455573090786543
mfcc_1_std,-0.024654438358406604,0.8768366495060187
mfcc_2_std,-0.019990085155464812,0.9000063314596014
delta_mfcc_4_std,0.014659395780674198,0.9265855973123327
mfcc_12_mean,-0.013659891522900956,0.931578871241054
temporal_centroid,-0.013326723436976542,0.9332438811320876
delta_mfcc_4_mean,-0.011994051093278888,0.93990666082794
mfcc_11_mean,0.007329697890337099,0.9632553326006874
mfcc_10_mean,0.006330193632563858,0.9682632254864463
delta_mfcc_5_std,-0.005330689374790617,0.9732723226002256
delta_mfcc_6_std,0.0003331680859244136,0.9983292206935587
