feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
amplitude_modulation,,,,,1.0459383433239718e-06,,0.9095085938862487,16.0,,
harmonic_ratio,,,,,0.0005705638563412,,-0.763987218864449,16.0,,
rms,,,,,0.0007822295552021923,,0.7518604376126322,16.0,,
spectral_flux,,,,,0.012774437952690768,,0.6063390625908325,16.0,,
delta_mfcc_4_std,,,,,0.015212049178054443,,0.5942122813390158,16.0,,
mfcc_1_mean,,,,,0.015212049178054443,,0.5942122813390158,16.0,,
mfcc_13_mean,,,,,0.028774033245798705,,-0.5457051563317492,16.0,,
delta_mfcc_10_std,,,,,0.03328463554337425,,0.5335783750799326,16.0,,
spectral_contrast,,,,,0.03831232396336502,,-0.5214515938281159,16.0,,
delta_mfcc_6_std,,,,,0.03831232396336502,,0.5214515938281159,16.0,,
delta_mfcc_13_mean,,,,,0.0724293515513473,,-0.46081768756903263,16.0,,
delta_mfcc_2_std,,,,,0.0724293515513473,,0.46081768756903263,16.0,,
delta_mfcc_12_std,,,,,0.0909007300989828,,0.43656412506539943,16.0,,
inter_peak_interval_variance,,,,,0.0909007300989828,,-0.43656412506539943,16.0,,
chroma_mean,,,,,0.10129845700673137,,0.4244373438135828,16.0,,
mfcc_4_mean,,,,,0.10129845700673137,,-0.4244373438135828,16.0,,
spectral_flux_variance,,,,,0.11250965188359542,,-0.41231056256176607,16.0,,
delta_mfcc_8_std,,,,,0.12456118733546118,,0.4001837813099494,16.0,,
delta_mfcc_9_std,,,,,0.12456118733546118,,0.4001837813099494,16.0,,
delta_mfcc_13_std,,,,,0.15128243296793142,,0.3759302188063161,16.0,,
delta_mfcc_7_std,,,,,0.1816330003074082,,0.3516766563026828,16.0,,
delta_mfcc_5_std,,,,,0.2157419343615793,,0.32742309379904955,16.0,,
delta_mfcc_12_mean,,,,,0.2157419343615793,,-0.32742309379904955,16.0,,
mfcc_9_mean,,,,,0.23423336579015858,,0.3152963125472329,16.0,,
delta_mfcc_1_mean,,,,,0.2536911881531959,,0.30316953129541624,16.0,,
crest_factor,,,,,0.2536911881531959,,-0.30316953129541624,16.0,,
mfcc_6_mean,,,,,0.2741175674192571,,0.2910427500435996,16.0,,
mfcc_5_mean,,,,,0.2741175674192571,,-0.2910427500435996,16.0,,
mfcc_7_std,,,,,0.2741175674192571,,0.2910427500435996,16.0,,
spectral_centroid,,,,,0.2955112361589246,,-0.27891596879178293,16.0,,
spectral_flatness,,,,,0.3178674173225785,,-0.2667891875399663,16.0,,
mfcc_12_mean,,,,,0.3178674173225785,,-0.2667891875399663,16.0,,
centroid_modulation_depth,,,,,0.3178674173225785,,-0.2667891875399663,16.0,,
mfcc_2_std,,,,,0.3178674173225785,,0.2667891875399663,16.0,,
secondary_peak_count,,,,,0.34081022520935944,,-0.2548498648385896,16.0,,
delta_mfcc_6_mean,,,,,0.341177767273976,,-0.2546624062881496,16.0,,
delta_mfcc_2_mean,,,,,0.341177767273976,,0.2546624062881496,16.0,,
sustain_ratio,,,,,0.3654303385914638,,-0.24253562503633297,16.0,,
spectral_bandwidth,,,,,0.3654303385914638,,-0.24253562503633297,16.0,,
modulation_energy,,,,,0.390609563016337,,0.23040884378451632,16.0,,
delta_mfcc_11_mean,,,,,0.41669625479394257,,-0.21828206253269972,16.0,,
spectral_rolloff,,,,,0.47149737345813825,,-0.19402850002906638,16.0,,
delta_mfcc_10_mean,,,,,0.5001556582030133,,0.18190171877724973,16.0,,
mfcc_10_std,,,,,0.5001556582030133,,0.18190171877724973,16.0,,
delta_mfcc_1_std,,,,,0.5001556582030133,,0.18190171877724973,16.0,,
mfcc_9_std,,,,,0.5296092753478194,,0.1697749375254331,16.0,,
delta_mfcc_3_mean,,,,,0.5296092753478194,,0.1697749375254331,16.0,,
mfcc_7_mean,,,,,0.5296092753478194,,-0.1697749375254331,16.0,,
mfcc_8_std,,,,,0.5598217157905656,,0.15764815627361645,16.0,,
autocorrelation,,,,,0.5598217157905656,,0.15764815627361645,16.0,,
delta_mfcc_11_std,,,,,0.5598217157905656,,0.15764815627361645,16.0,,
mfcc_11_std,,,,,0.5598217157905656,,-0.15764815627361645,16.0,,
mfcc_5_std,,,,,0.5598217157905656,,-0.15764815627361645,16.0,,
mfcc_12_std,,,,,0.5598217157905656,,-0.15764815627361645,16.0,,
mfcc_8_mean,,,,,0.6223613103128189,,-0.13339459376998314,16.0,,
zcr,,,,,0.6546001692975567,,0.12126781251816648,16.0,,
delta_mfcc_5_mean,,,,,0.6874215969249201,,-0.10914103126634986,16.0,,
delta_mfcc_7_mean,,,,,0.6874215969249201,,-0.10914103126634986,16.0,,
delta_mfcc_9_mean,,,,,0.7207748119107177,,0.09701425001453319,16.0,,
mfcc_2_mean,,,,,0.7546067363131005,,0.08488746876271655,16.0,,
mfcc_4_std,,,,,0.7546067363131005,,0.08488746876271655,16.0,,
delta_mfcc_8_mean,,,,,0.7888622154669136,,0.0727606875108999,16.0,,
mfcc_10_mean,,,,,0.8234842500845889,,-0.06063390625908324,16.0,,
mfcc_3_std,,,,,0.8584142391733477,,0.048507125007266595,16.0,,
delta_mfcc_4_mean,,,,,0.8584142391733477,,0.048507125007266595,16.0,,
mfcc_13_std,,,,,0.8584142391733477,,-0.048507125007266595,16.0,,
post_onset_energy_ratio,,,,,0.8738396947550474,,-0.04318027059486031,16.0,,
delta_mfcc_3_std,,,,,0.8935922323511958,,-0.03638034375544995,16.0,,
mfcc_1_std,,,,,0.8935922323511958,,0.03638034375544995,16.0,,
mfcc_6_std,,,,,0.8935922323511958,,0.03638034375544995,16.0,,
chroma_std,,,,,0.9289571900858598,,-0.024253562503633298,16.0,,
temporal_centroid,,,,,0.9644472503316939,,-0.012126781251816649,16.0,,
energy_decay,,,,,0.9644472503316939,,0.012126781251816649,16.0,,
mfcc_11_mean,,,,,1.0,,0.0,16.0,,
mfcc_3_mean,,,,,1.0,,0.0,16.0,,
