feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
amplitude_modulation,,,-1.8444228491406394,-4.172495524675984,0.00270353915962026,1.8444228491406394,,,4.0,8.0
rms,,,-1.7547940535857247,-3.5104360949766793,0.005790794810665046,1.7547940535857247,,,4.0,8.0
harmonic_ratio,,,1.647851091682218,3.0216576488448452,0.015864366399213077,1.647851091682218,,,4.0,8.0
inter_peak_interval_variance,,,1.3600746501232532,1.5676079509117888,0.20982338787809024,1.3600746501232532,,,4.0,8.0
mfcc_13_mean,,,1.2547415373160529,2.0464700564010463,0.0860644453977954,1.2547415373160529,,,4.0,8.0
mfcc_1_mean,,,-1.233466234717649,-2.018381589134482,0.08910267516877389,1.233466234717649,,,4.0,8.0
delta_mfcc_4_std,,,-1.153545041063636,-2.4695384079121596,0.03362912860052492,1.153545041063636,,,4.0,8.0
spectral_contrast,,,1.1150288014725287,2.3683676191962038,0.03969760480222019,1.1150288014725287,,,4.0,8.0
spectral_flux,,,-1.1112135959010552,-2.0638910812585762,0.07067293189158472,1.1112135959010552,,,4.0,8.0
crest_factor,,,0.799307289928225,1.2624423135117762,0.2567685343830668,0.799307289928225,,,4.0,8.0
delta_mfcc_6_std,,,-0.7990319902132722,-1.2903000814872954,0.24501376157096671,0.7990319902132722,,,4.0,8.0
mfcc_12_mean,,,0.7831510812713163,1.2149837942478434,0.27509816065282944,0.7831510812713163,,,4.0,8.0
delta_mfcc_13_mean,,,0.7644791137573925,1.0931557991492713,0.3295160790212748,0.7644791137573925,,,4.0,8.0
chroma_mean,,,-0.7282835296896747,-1.2606695114297946,0.24718822296895598,0.7282835296896747,,,4.0,8.0
mfcc_9_mean,,,-0.7039265907937783,-1.075960820497699,0.3294546221462388,0.7039265907937783,,,4.0,8.0
delta_mfcc_8_std,,,-0.6808252403032591,-1.334911756175347,0.21284054314709847,0.6808252403032591,,,4.0,8.0
mfcc_2_mean,,,-0.6765223405352742,-1.0443407340741442,0.34156421240775653,0.6765223405352742,,,4.0,8.0
delta_mfcc_9_std,,,-0.617853886893868,-1.0472887766095444,0.3311362448835623,0.617853886893868,,,4.0,8.0
delta_mfcc_13_std,,,-0.5785150995119269,-1.2675542128150838,0.23553508648991306,0.5785150995119269,,,4.0,8.0
delta_mfcc_10_std,,,-0.5229899799924496,-0.8115727034602228,0.451492976643701,0.5229899799924496,,,4.0,8.0
delta_mfcc_7_std,,,-0.5208035185936365,-1.0003984361047575,0.3426731311482857,0.5208035185936365,,,4.0,8.0
delta_mfcc_12_mean,,,0.5193792885792056,0.7237078914518177,0.5069602878198461,0.5193792885792056,,,4.0,8.0
mfcc_5_std,,,0.5071038857789312,0.8495163714003231,0.42569013427886093,0.5071038857789312,,,4.0,8.0
delta_mfcc_7_mean,,,0.4530255754250786,0.864480479664342,0.40956063702135015,0.4530255754250786,,,4.0,8.0
spectral_flux_variance,,,0.44905941504676966,0.656739009764602,0.54213213915811,0.44905941504676966,,,4.0,8.0
delta_mfcc_3_std,,,-0.4472460794099974,-1.0519698985569574,0.32676019388299965,0.4472460794099974,,,4.0,8.0
sustain_ratio,,,0.4269132499992221,0.6293552803677374,0.5579570976850179,0.4269132499992221,,,4.0,8.0
mfcc_4_std,,,-0.3929347931391008,-0.8533720747614454,0.41434006099242227,0.3929347931391008,,,4.0,8.0
centroid_modulation_depth,,,0.3923852218948739,0.6724544333794003,0.5230847067672673,0.3923852218948739,,,4.0,8.0
mfcc_9_std,,,-0.38923045471739015,-0.7633187174420246,0.4636990122678584,0.38923045471739015,,,4.0,8.0
mfcc_7_std,,,-0.3842198349039641,-0.6841121743530726,0.5140249707797121,0.3842198349039641,,,4.0,8.0
delta_mfcc_12_std,,,-0.3818466713810552,-0.8445610666150885,0.4198745690848121,0.3818466713810552,,,4.0,8.0
spectral_bandwidth,,,0.3756266009176535,0.6441997436643867,0.5401435055990069,0.3756266009176535,,,4.0,8.0
mfcc_2_std,,,-0.36853355804352933,-0.5613579556725207,0.5981381428267015,0.36853355804352933,,,4.0,8.0
mfcc_4_mean,,,0.36673269399515646,0.5901775032768554,0.5770564865421238,0.36673269399515646,,,4.0,8.0
modulation_energy,,,-0.35712984954032356,-0.5586743758106073,0.5984649113016282,0.35712984954032356,,,4.0,8.0
delta_mfcc_5_std,,,-0.3515561963564771,-0.5259461540318839,0.6216840306490329,0.3515561963564771,,,4.0,8.0
delta_mfcc_1_std,,,-0.3325502502047966,-0.5329291987179964,0.6138341385480466,0.3325502502047966,,,4.0,8.0
spectral_centroid,,,0.32271049325660817,0.5023385302037959,0.6352067065654807,0.32271049325660817,,,4.0,8.0
autocorrelation,,,-0.3223894640670473,-0.43277571907479145,0.6875775728956826,0.3223894640670473,,,4.0,8.0
delta_mfcc_2_std,,,-0.31687165055955785,-0.5536624549299891,0.5963590387719624,0.31687165055955785,,,4.0,8.0
spectral_flatness,,,0.3143181744704184,0.5019855552086727,0.6342779700447936,0.3143181744704184,,,4.0,8.0
mfcc_5_mean,,,0.30102454622998076,0.5401019006735519,0.6041397923257045,0.30102454622998076,,,4.0,8.0
mfcc_3_std,,,-0.2802073771446097,-0.6537790165679319,0.5327785657736508,0.2802073771446097,,,4.0,8.0
mfcc_6_mean,,,-0.26313741539031293,-0.40286770947903194,0.7030676481455557,0.26313741539031293,,,4.0,8.0
mfcc_10_mean,,,-0.24514755070192176,-0.38157335696714406,0.7173096579081376,0.24514755070192176,,,4.0,8.0
delta_mfcc_6_mean,,,0.24419743473256533,0.3979651629331013,0.7042863501833856,0.24419743473256533,,,4.0,8.0
mfcc_8_std,,,-0.23793940785279175,-0.4451575626723205,0.6670763433030337,0.23793940785279175,,,4.0,8.0
secondary_peak_count,,,-0.23135398328411869,-0.4645434068276544,0.6523558892374258,0.23135398328411869,,,4.0,8.0
delta_mfcc_9_mean,,,-0.22833519364792224,-0.35640409101552756,0.7349332401114514,0.22833519364792224,,,4.0,8.0
mfcc_13_std,,,0.22443525684107646,0.4438659149566642,0.6668999891475543,0.22443525684107646,,,4.0,8.0
spectral_rolloff,,,0.22012228532365186,0.3548009888763141,0.7350825206059843,0.22012228532365186,,,4.0,8.0
mfcc_8_mean,,,0.1857421247561567,0.3368084358691804,0.744872435149407,0.1857421247561567,,,4.0,8.0
mfcc_11_std,,,0.17843897389218014,0.3002680747070122,0.773213258317205,0.17843897389218014,,,4.0,8.0
mfcc_6_std,,,0.170213322666731,0.24777378025535393,0.8148659464109628,0.170213322666731,,,4.0,8.0
mfcc_3_mean,,,0.16237180338194462,0.2818916209682449,0.7859872252348423,0.16237180338194462,,,4.0,8.0
mfcc_12_std,,,0.15753648987430452,0.2731720087686419,0.7924439804661998,0.15753648987430452,,,4.0,8.0
mfcc_7_mean,,,0.14594705701847416,0.22202689696147418,0.8328667461046115,0.14594705701847416,,,4.0,8.0
delta_mfcc_11_mean,,,0.14177456297826746,0.2124269274063767,0.8402375388834888,0.14177456297826746,,,4.0,8.0
mfcc_10_std,,,-0.138223319635906,-0.23706666196755719,0.8194493582037227,0.138223319635906,,,4.0,8.0
delta_mfcc_1_mean,,,-0.12575478289276135,-0.19517607892497268,0.8524234613992169,0.12575478289276135,,,4.0,8.0
delta_mfcc_2_mean,,,-0.12505059474760843,-0.1931419023397191,0.8540183977425965,0.12505059474760843,,,4.0,8.0
delta_mfcc_3_mean,,,-0.12287097102969262,-0.1863513689321351,0.8593672938546384,0.12287097102969262,,,4.0,8.0
post_onset_energy_ratio,,,-0.10720632486776588,-0.20447334691529512,0.8424940157646197,0.10720632486776588,,,4.0,8.0
delta_mfcc_10_mean,,,-0.10554566797293313,-0.16759026034237362,0.8727129439598259,0.10554566797293313,,,4.0,8.0
delta_mfcc_4_mean,,,-0.10233584812500549,-0.15065439595456814,0.8864147104417658,0.10233584812500549,,,4.0,8.0
mfcc_1_std,,,-0.0931918474446179,-0.14213601932537331,0.8923588553808258,0.0931918474446179,,,4.0,8.0
delta_mfcc_8_mean,,,0.07891856495456934,0.11244106151342786,0.9153624280822721,0.07891856495456934,,,4.0,8.0
zcr,,,-0.07699107468396124,-0.12387672605057796,0.9055453278446041,0.07699107468396124,,,4.0,8.0
mfcc_11_mean,,,-0.03826502583744666,-0.05638398044347494,0.9573181736828245,0.03826502583744666,,,4.0,8.0
delta_mfcc_11_std,,,-0.01675927419277137,-0.028954776247102555,0.9777000308519039,0.01675927419277137,,,4.0,8.0
energy_decay,,,0.013302361169926445,0.02164894884528935,0.983425063124655,0.013302361169926445,,,4.0,8.0
temporal_centroid,,,-0.010861957717646888,-0.017351955121799593,0.9867406382800067,0.010861957717646888,,,4.0,8.0
chroma_std,,,0.006163832956455915,0.009715067447592885,0.9925867427728372,0.006163832956455915,,,4.0,8.0
delta_mfcc_5_mean,,,0.0006235150032643292,0.000914552042621211,0.9993076048929709,0.0006235150032643292,,,4.0,8.0
