feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
rms,,,,,1.846563497950116e-05,,0.8610014688789821,16.0,,
amplitude_modulation,,,,,0.00013099075314777192,,0.8124943438717155,16.0,,
spectral_flux_variance,,,,,0.00013099075314777192,,-0.8124943438717155,16.0,,
inter_peak_interval_variance,,,,,0.021164984445793907,,-0.5699587188353825,16.0,,
sustain_ratio,,,,,0.05684830142796841,,-0.48507125007266594,16.0,,
energy_decay,,,,,0.06429378290389041,,0.47294446882084934,16.0,,
centroid_modulation_depth,,,,,0.11250965188359542,,-0.41231056256176607,16.0,,
harmonic_ratio,,,,,0.13747790979820187,,-0.38805700005813276,16.0,,
zcr,,,,,0.15128243296793142,,-0.3759302188063161,16.0,,
spectral_flux,,,,,0.15128243296793142,,-0.3759302188063161,16.0,,
spectral_flatness,,,,,0.15128243296793142,,-0.3759302188063161,16.0,,
spectral_centroid,,,,,0.2157419343615793,,-0.32742309379904955,16.0,,
spectral_bandwidth,,,,,0.2157419343615793,,-0.32742309379904955,16.0,,
crest_factor,,,,,0.2741175674192571,,-0.2910427500435996,16.0,,
spectral_rolloff,,,,,0.2741175674192571,,-0.2910427500435996,16.0,,
autocorrelation,,,,,0.2955112361589246,,0.27891596879178293,16.0,,
modulation_energy,,,,,0.2955112361589246,,-0.27891596879178293,16.0,,
post_onset_energy_ratio,,,,,0.37995832503358773,,0.2354849230875219,16.0,,
temporal_centroid,,,,,0.5598217157905656,,0.15764815627361645,16.0,,
secondary_peak_count,,,,,0.7884047989588011,,0.07292172205869737,16.0,,
