feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
rms,,,-1.8423783436616215,-3.4699564499791298,0.0072519164147581885,1.8423783436616215,,,4.0,8.0
inter_peak_interval_variance,,,1.7310068639566663,1.9972198732725461,0.13433786658644853,1.7310068639566663,,,4.0,8.0
spectral_flux_variance,,,1.6617532068107936,1.8627087969160154,0.15705596395582358,1.6617532068107936,,,4.0,8.0
amplitude_modulation,,,-1.4473213063522936,-3.0184095462329363,0.012947043120294226,1.4473213063522936,,,4.0,8.0
sustain_ratio,,,1.0454537212424893,2.2274565533671975,0.05048240521293451,1.0454537212424893,,,4.0,8.0
spectral_flux,,,1.0370084804071553,1.3810200628351128,0.240623573099528,1.0370084804071553,,,4.0,8.0
energy_decay,,,-0.8806279696259368,-1.810367284246647,0.10036354844122357,0.8806279696259368,,,4.0,8.0
spectral_bandwidth,,,0.8636863727371819,1.5182588512975272,0.17035760444367198,0.8636863727371819,,,4.0,8.0
spectral_centroid,,,0.7934198979095161,1.5090531852291382,0.16546789842956344,0.7934198979095161,,,4.0,8.0
centroid_modulation_depth,,,0.7675617357918766,1.7170084455512566,0.12064745004780521,0.7675617357918766,,,4.0,8.0
zcr,,,0.6954287620331749,1.3288751662974678,0.21619536277786316,0.6954287620331749,,,4.0,8.0
autocorrelation,,,-0.6524044012644123,-1.182284134965646,0.27088119802136,0.6524044012644123,,,4.0,8.0
spectral_rolloff,,,0.6236389657712945,1.0899829050153476,0.3103732738934035,0.6236389657712945,,,4.0,8.0
harmonic_ratio,,,0.545171483749693,0.8875892652733848,0.40865984502555114,0.545171483749693,,,4.0,8.0
modulation_energy,,,0.5117640195504279,0.9065558374659451,0.39257894873214066,0.5117640195504279,,,4.0,8.0
spectral_flatness,,,0.45476506543976325,0.9716893832270309,0.35456844332089443,0.45476506543976325,,,4.0,8.0
secondary_peak_count,,,-0.38558551105795386,-0.6138254262256502,0.5629453947839732,0.38558551105795386,,,4.0,8.0
crest_factor,,,0.30233103953387,0.525397144985937,0.6151121493596637,0.30233103953387,,,4.0,8.0
temporal_centroid,,,-0.09419091226290413,-0.14502074137046314,0.8900770337679548,0.09419091226290413,,,4.0,8.0
post_onset_energy_ratio,,,-0.04315720444308786,-0.08874397146978029,0.9310386465504265,0.04315720444308786,,,4.0,8.0
