feature,n_weak,n_strong,cohen_d,tstat,pval,abs_cohen
inter_peak_interval_variance,12,20,0.9834105682667862,2.357536142301218,0.032045120878598864,0.9834105682667862
spectral_contrast,12,20,0.9569948499840222,2.984182693259299,0.005610089356228137,0.9569948499840222
harmonic_ratio,12,20,0.9095288731612994,2.753920149271138,0.009966795596942385,0.9095288731612994
mfcc_1_mean,12,20,-0.7826465730882168,-2.3437128961556417,0.026111236169804306,0.7826465730882168
mfcc_13_std,12,20,0.6189694156822263,1.8868555030993066,0.06896322552371478,0.6189694156822263
delta_mfcc_2_mean,12,20,-0.6141604517403549,-2.002311041082511,0.054937029320162555,0.6141604517403549
delta_mfcc_1_mean,12,20,-0.5954925456327818,-2.0060631949040877,0.055644472236237356,0.5954925456327818
crest_factor,12,20,0.5627978464466744,1.7006688581707845,0.09951606805549729,0.5627978464466744
delta_mfcc_8_mean,12,20,0.5522229625730682,1.788987431352968,0.08418993866380974,0.5522229625730682
mfcc_3_std,12,20,0.5181743021084868,1.6007517298402671,0.11991699254147752,0.5181743021084868
chroma_mean,12,20,-0.5132080660106939,-1.4568343804364867,0.15716445531187928,0.5132080660106939
amplitude_modulation,12,20,-0.49437428311645265,-1.717133947446237,0.10008432850390944,0.49437428311645265
mfcc_11_std,12,20,0.4820325774284342,1.33605785185956,0.19396625906531872,0.4820325774284342
rms,12,20,-0.4813264593428543,-1.6015002543038444,0.12109736248043856,0.4813264593428543
spectral_flux,12,20,-0.4661843768617804,-1.4882969741848031,0.14731218049034986,0.4661843768617804
mfcc_12_std,12,20,0.4634249969348591,1.3960451309860897,0.17314826942674535,0.4634249969348591
centroid_modulation_depth,12,20,0.4021724610032871,1.1407676824680066,0.26441408341986516,0.4021724610032871
sustain_ratio,12,20,0.3909339749364695,1.2239833320263949,0.2305011645730842,0.3909339749364695
energy_decay,12,20,-0.386018591156321,-1.2315527684316603,0.22785936098539608,0.386018591156321
mfcc_5_mean,12,20,0.3642662832479471,1.1036621932382953,0.2786278905034076,0.3642662832479471
post_onset_energy_ratio,12,20,0.33075078384176654,1.1149195141176476,0.2753834613131539,0.33075078384176654
